	1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	5_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	7_clip	8_clip	9_clip
sq327	0	0	1	12	0	0	0	12	0	0	0	0	0	0	0	0	2	0	1	0	17	0	0	0	2	1	0	3	16	129	0	29	206	4	0	1	26	173	1	0	4	184	0	0	3	28	49	35	18	31	85	0	33	32	57	47	13	37	33	30	0	12	0
sq328	27	14	19	14	34	16	14	15	32	30	27	26	19	26	6	21	9	22	10	10	10	6	22	2	6	2	69	38	26	3	15	27	8	27	31	68	30	16	32	29	61	10	22	20	41	18	18	35	28	32	13	7	16	17	24	14	29	29	36	24	2	12	6
sq329	63	25	34	3	25	28	54	90	19	23	27	17	25	91	31	47	39	46	25	5	12	22	23	63	55	22	3	2	1	3	7	29	13	5	3	0	5	6	0	1	2	7	32	80	86	34	30	11	11	13	1	42	2	8	6	4	4	5	7	3	62	32	14
sq330	43	8	17	2	38	31	24	14	144	160	120	68	82	31	36	19	46	37	24	11	12	103	78	23	27	5	6	3	3	0	7	7	1	44	0	0	0	0	0	0	0	3	35	27	14	6	5	4	7	3	1	14	1	1	0	0	2	1	5	3	10	93	13
sq331	21	0	0	0	0	0	0	0	1	0	0	1	0	121	1	3	0	21	0	0	0	1201	0	85	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
sq332	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	40	46	99	21	1	22	5	1	91	40	56	63	14	6	43	21	0	3	8	16	4	37	28	33	28	0	54	67	76	53	56	76	76	49	0	4	0
sq333	0	0	0	10	0	1	0	29	0	0	0	0	3	0	0	2	9	0	5	14	23	0	0	0	4	0	14	7	42	77	2	37	40	25	15	11	178	154	9	15	19	72	0	3	4	24	23	25	15	22	55	0	25	38	48	37	27	46	51	34	0	22	0
sq334	164	0	0	0	0	0	0	0	33	1	1	15	0	155	47	48	0	125	2	1	3	90	5	291	177	2	0	0	0	0	27	23	2	0	0	0	1	0	0	0	4	1	151	0	3	3	0	7	3	7	0	65	2	0	1	0	0	5	4	4	30	0	0
sq335	5	20	16	2	3	6	12	27	1	1	0	21	1	16	109	371	30	22	335	247	16	0	4	6	21	135	2	0	0	0	0	13	9	14	0	0	0	0	0	0	0	1	0	0	0	5	10	1	0	0	0	4	0	0	0	0	0	2	1	1	3	4	2
sq336	0	1	4	63	0	0	4	31	0	2	1	1	5	0	0	9	30	0	23	46	37	0	0	0	1	5	46	28	138	25	9	79	22	41	1	18	195	41	2	4	33	17	0	1	26	37	21	29	19	18	15	0	20	30	35	21	25	35	53	66	1	26	0
sq337	1	3	4	0	1	4	4	1	9	19	5	6	2	2	0	1	0	4	2	5	0	1	4	0	0	0	207	170	29	1	82	43	0	2	38	157	23	1	10	24	84	2	1	55	59	21	3	39	36	45	4	0	15	16	27	14	26	33	63	51	0	0	1
sq338	5	0	5	6	1	0	1	2	1	0	0	0	0	4	2	8	13	12	4	4	10	81	0	22	25	10	1	1	3	47	5	67	78	7	5	2	5	28	1	3	3	18	8	18	23	301	70	44	30	19	14	3	30	112	58	18	49	25	25	22	2	0	0
sq339	3	11	2	24	4	9	12	25	2	13	3	1	13	4	6	6	19	4	10	25	27	1	2	0	2	7	19	24	39	37	1	26	46	10	12	13	65	86	4	7	43	98	1	3	19	31	36	30	33	34	51	1	34	40	31	36	28	50	32	23	3	30	0
sq340	0	0	1	6	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	2	10	0	0	0	0	0	21	25	52	23	1	6	20	3	35	21	151	77	14	15	30	44	0	0	6	2	6	39	33	46	48	0	55	67	62	65	62	53	32	22	0	5	0
sq341	45	12	12	1	59	28	34	41	22	27	22	18	26	89	21	6	30	28	6	8	3	168	16	67	44	3	3	6	0	0	17	22	4	10	2	11	1	9	0	0	3	3	36	72	94	27	24	32	26	40	1	10	4	7	4	5	18	13	21	25	16	44	7
sq342	6	4	1	0	4	0	0	7	2	0	0	0	0	5	4	3	23	3	2	10	0	3	2	5	7	5	141	143	1	2	28	1	1	0	146	270	17	0	45	32	74	0	0	14	4	0	0	34	20	31	8	2	20	45	37	34	23	43	44	33	0	3	0
sq343	0	0	0	7	0	0	0	12	0	0	0	0	3	0	0	2	13	0	6	10	3	0	1	0	1	0	13	20	88	16	1	23	11	14	7	21	446	67	11	21	64	21	0	0	29	48	39	27	19	21	33	0	21	25	36	26	35	27	37	28	0	17	0
sq344	2	10	8	17	3	10	18	7	8	8	12	0	18	1	1	6	7	4	12	22	14	3	3	0	0	0	55	71	80	15	4	11	16	12	38	37	60	57	9	7	40	18	0	7	29	43	37	44	41	46	31	0	31	49	35	47	28	38	34	38	1	18	3
sq345	0	0	1	1	0	0	2	1	0	0	0	2	0	0	0	1	0	1	3	11	0	0	2	0	0	0	66	71	21	2	16	31	3	2	53	160	75	10	38	85	102	8	0	1	13	6	15	33	25	24	23	0	34	61	43	34	63	50	52	47	0	0	0
sq346	12	10	19	2	18	7	5	3	14	5	3	4	2	8	5	3	2	13	9	8	0	4	11	1	0	0	81	108	28	1	17	16	3	6	54	56	42	19	14	9	61	10	1	2	12	16	13	37	25	35	18	0	33	42	21	33	49	45	45	34	2	2	6
sq347	8	7	5	12	15	5	12	11	5	15	15	8	7	7	12	15	13	12	16	9	6	3	10	0	3	7	54	34	37	17	14	34	18	6	17	51	54	42	21	28	51	23	3	18	34	32	20	39	36	29	21	9	16	34	44	28	34	34	49	27	6	6	5
sq348	41	47	38	4	17	36	51	74	21	29	37	8	37	47	3	11	31	31	9	36	9	140	22	311	138	4	0	0	2	0	2	2	5	27	0	0	0	2	0	0	0	2	32	4	4	2	4	2	2	6	0	7	0	0	0	0	2	1	3	0	7	48	18
sq349	9	13	3	11	10	8	13	15	5	10	12	4	20	14	12	16	15	6	20	9	10	2	3	0	0	11	43	18	33	10	10	28	15	11	36	37	54	57	13	21	35	43	4	15	49	57	35	24	31	27	18	3	20	29	41	24	41	28	39	27	10	6	0
sq350	0	25	42	78	7	21	25	23	12	53	61	5	70	0	6	26	30	0	36	68	29	0	28	1	0	8	2	4	29	1	0	2	1	62	4	8	17	15	2	0	6	17	0	0	0	1	2	36	17	8	6	6	24	35	39	27	29	87	120	69	7	36	8
sq351	0	0	1	14	0	0	0	29	0	0	0	0	2	0	0	2	25	0	0	0	35	0	0	6	3	0	1	0	25	34	0	1	9	9	1	1	137	200	0	0	14	151	0	0	0	0	0	11	12	12	43	0	58	58	74	69	20	53	37	21	0	21	0
sq352	1	8	23	10	2	13	9	26	4	7	7	3	4	2	2	14	14	3	23	46	6	0	5	0	0	1	7	3	58	6	0	2	3	18	12	8	146	15	1	3	28	10	1	0	1	0	6	34	20	14	31	0	60	69	77	57	90	103	90	76	0	32	3
sq353	12	18	16	43	5	22	17	30	31	57	90	18	211	1	2	6	88	2	8	15	41	9	37	11	19	14	8	2	3	6	4	28	27	64	0	2	2	7	2	2	3	4	8	15	25	11	13	24	17	9	7	4	3	5	3	0	2	0	12	12	7	209	4
sq354	0	2	0	15	0	0	0	38	0	0	0	0	1	0	0	2	16	0	2	3	59	0	0	0	8	1	0	1	14	91	0	15	141	28	1	0	12	128	0	0	1	158	0	0	1	5	22	20	25	33	77	0	36	35	44	43	10	39	40	25	0	38	0
sq355	164	18	5	4	8	4	14	15	31	10	4	25	8	98	31	80	13	65	13	16	19	58	21	161	118	9	0	0	0	0	2	7	1	17	0	0	0	0	0	0	0	1	119	1	6	0	1	1	0	3	1	86	0	0	1	1	0	2	2	2	75	13	11
sq356	1	0	0	22	0	1	1	32	0	0	0	0	0	0	0	0	23	0	3	6	28	0	0	0	1	1	0	0	10	17	0	4	36	13	0	0	10	84	0	0	3	88	0	19	208	188	206	7	6	12	39	0	12	21	23	32	5	20	7	3	1	20	0
sq357	8	8	4	10	9	8	14	11	4	12	15	3	6	4	10	11	8	8	21	16	13	0	7	3	4	4	52	36	36	11	18	32	18	13	22	37	34	37	16	25	61	28	3	11	22	38	28	33	34	31	29	7	23	24	32	33	43	43	50	31	10	17	1
sq358	0	1	0	8	0	0	0	19	0	0	0	2	0	0	0	1	20	0	0	5	36	0	0	0	0	3	0	0	18	71	0	13	86	24	2	0	13	146	2	2	1	181	0	0	0	15	27	19	30	25	48	0	36	60	46	51	12	57	30	13	0	13	0
sq359	0	6	0	6	3	6	6	11	2	4	1	2	2	3	6	16	10	3	14	3	9	0	4	1	5	18	77	79	182	19	15	18	16	5	27	64	145	144	15	19	72	42	2	0	1	12	17	7	4	6	21	5	7	10	7	9	9	8	7	5	4	5	3
sq360	0	0	0	14	0	0	0	16	0	0	0	0	0	0	0	0	19	0	0	3	34	0	0	0	1	2	3	1	33	57	0	9	63	14	0	1	59	187	0	0	9	128	0	0	0	16	53	12	15	20	53	0	24	28	40	41	14	40	21	6	0	12	0
sq361	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	0	21	29	0	4	67	11	0	0	53	135	1	0	3	172	0	0	0	5	9	8	13	8	44	0	20	30	32	30	10	27	20	10	0	8	0
sq362	16	10	8	23	15	21	26	14	22	19	13	9	8	5	13	7	11	7	9	19	17	3	21	0	0	6	47	30	37	24	7	17	17	19	26	31	38	37	9	19	39	37	13	4	19	32	38	19	22	23	29	3	20	38	16	19	18	26	23	19	3	15	11
sq363	9	5	7	25	3	2	3	1	42	48	55	19	12	10	2	8	9	8	5	3	3	1	22	3	9	1	16	15	13	15	90	56	14	8	2	30	22	15	2	4	25	11	19	75	139	47	42	34	27	30	6	20	5	8	15	3	19	29	43	52	16	8	0
sq364	56	21	24	14	51	41	40	9	33	28	22	59	8	89	66	43	18	113	32	30	24	13	47	83	93	10	0	0	0	1	2	1	1	42	0	0	1	0	0	1	1	0	40	0	0	0	0	2	2	2	0	63	0	0	0	0	0	0	1	3	45	16	20
sq365	0	0	0	17	0	0	1	15	0	0	0	0	1	0	0	1	15	0	0	3	47	0	0	1	2	0	0	0	29	76	0	9	62	14	1	0	33	188	0	0	4	188	0	0	0	0	1	17	28	26	87	0	44	41	53	58	10	49	29	15	0	26	0
sq366	5	3	5	29	3	7	9	25	5	16	14	4	30	3	3	10	19	5	10	8	28	2	9	0	3	7	9	15	38	59	1	24	66	23	10	7	39	77	3	9	18	73	1	2	10	24	43	29	27	34	35	3	17	33	32	49	18	23	34	26	5	32	3
sq367	8	8	9	15	27	22	26	11	15	22	21	15	23	12	2	10	13	12	13	22	15	2	10	0	2	7	68	47	20	3	16	20	7	18	27	31	32	10	4	4	67	7	14	4	17	13	16	28	34	19	14	4	22	31	31	25	24	34	39	33	2	36	1
sq368	0	1	3	14	2	2	5	31	1	2	6	1	9	0	4	4	19	3	6	12	27	0	3	0	0	1	6	2	35	38	0	8	41	19	2	2	54	113	0	3	5	100	1	2	7	19	49	18	18	21	54	2	19	37	36	44	23	34	18	15	2	21	1
sq369	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	57	46	6	0	10	0	0	0	160	123	11	1	136	164	24	0	0	13	13	2	0	17	8	16	9	0	8	18	11	20	12	10	7	8	0	0	0
sq370	0	0	0	13	0	0	1	15	0	0	0	0	4	0	0	0	12	0	1	3	37	0	0	0	0	2	0	0	12	60	0	3	107	15	1	0	19	128	0	0	3	159	0	0	1	6	35	29	20	25	70	0	21	40	28	48	12	44	26	16	0	29	0
sq371	43	19	30	3	62	27	18	4	24	14	4	31	1	31	36	63	8	46	84	56	10	1	27	3	3	25	72	84	31	12	13	9	0	9	18	44	58	12	4	3	34	2	38	1	0	0	2	1	1	0	0	52	3	2	0	0	0	4	3	6	37	8	8
sq372	8	8	5	32	0	12	8	42	18	24	23	13	23	4	5	0	32	5	6	21	32	1	14	1	1	5	3	2	22	50	0	25	79	21	2	0	17	90	2	0	2	70	4	0	8	25	40	15	11	18	38	1	21	27	22	24	4	23	19	10	0	60	3
sq373	6	5	6	6	6	13	10	7	1	2	13	5	5	4	5	12	6	2	13	18	9	0	7	0	0	4	47	46	42	12	7	9	14	5	28	55	43	36	11	12	48	24	5	4	34	29	20	19	25	32	27	3	16	28	38	28	32	41	38	26	6	14	0
sq374	3	9	3	34	5	11	16	22	4	17	19	4	41	0	2	9	22	0	9	13	11	3	3	0	2	0	64	38	42	10	6	23	12	38	16	27	42	33	8	9	30	22	3	15	29	27	25	34	25	27	16	3	33	24	32	25	21	33	49	30	0	50	0
sq375	0	0	0	11	0	1	1	21	0	0	0	0	4	0	0	0	12	0	0	1	45	0	0	0	0	1	0	0	12	58	0	15	115	23	0	0	8	129	0	0	6	131	0	0	0	13	24	29	14	23	67	0	20	52	45	48	9	44	30	23	0	30	0
sq376	0	0	0	17	0	0	2	25	0	0	0	0	2	0	0	0	24	0	4	5	65	0	1	0	15	0	0	0	12	75	0	16	131	39	0	0	3	94	0	0	5	113	0	0	0	6	34	26	20	21	60	0	25	46	45	46	10	39	21	18	0	29	0
sq377	29	49	26	2	41	35	28	10	14	23	5	28	3	19	34	34	12	31	43	31	11	2	28	1	2	26	37	51	20	13	68	45	8	6	13	39	40	17	16	13	22	2	29	1	5	11	2	10	10	10	4	27	1	2	3	0	2	3	7	4	47	10	31
sq378	43	0	0	0	0	0	0	0	3	0	0	1	0	254	14	5	2	65	3	2	0	497	1	154	47	3	0	0	0	0	13	26	20	0	0	0	0	0	0	1	0	0	23	0	0	0	0	5	4	3	0	1	0	0	0	0	0	1	2	3	1	0	0
sq379	10	9	8	23	13	16	12	16	20	13	28	12	21	3	6	8	7	8	11	9	13	4	26	4	3	1	58	62	30	10	12	18	8	10	23	37	24	20	15	19	45	14	18	21	19	15	16	40	25	24	13	6	23	22	25	20	14	32	27	22	4	15	3
sq380	8	9	14	6	7	7	5	1	6	8	2	5	1	9	5	6	0	4	5	2	3	1	7	0	0	0	92	78	48	5	7	16	0	1	48	59	46	22	13	14	70	13	4	1	8	10	5	30	32	26	12	1	29	43	38	23	30	30	34	34	2	0	2
sq381	0	0	2	14	0	6	3	28	2	1	7	0	44	0	0	1	36	0	2	5	23	0	1	1	10	3	5	8	56	14	0	17	26	21	2	0	53	67	2	1	14	59	0	3	34	78	94	18	18	15	28	1	33	26	17	27	10	26	29	22	0	64	0
sq382	80	26	6	0	29	29	23	6	27	9	1	10	0	72	25	19	0	49	11	9	1	278	12	102	95	2	1	0	0	1	12	1	2	8	0	0	0	0	0	1	0	0	41	49	44	6	5	12	5	14	1	12	0	0	3	1	2	2	1	5	17	2	13
sq383	163	16	19	4	99	27	15	1	97	22	14	32	0	116	55	33	3	122	24	0	3	48	21	24	13	3	1	1	1	1	11	8	3	1	0	1	4	1	2	2	2	1	54	6	6	9	4	4	1	7	0	41	0	2	1	0	1	2	1	3	10	0	13
sq384	2	1	0	17	0	5	4	107	0	6	6	1	132	0	1	2	123	4	4	18	60	12	1	25	61	26	0	0	0	4	1	5	20	64	0	0	0	3	0	0	0	5	0	0	0	7	29	7	6	8	4	1	2	3	3	8	0	10	8	6	5	354	0
sq385	0	0	0	24	0	0	0	7	0	0	0	0	35	0	0	0	32	0	1	20	26	0	0	3	27	3	10	2	72	25	0	18	24	27	7	10	117	55	0	0	36	11	0	0	1	10	11	22	19	14	20	0	49	48	32	35	24	46	51	48	0	60	0
sq386	0	0	3	15	1	2	4	21	2	1	6	0	6	0	1	4	13	1	10	11	28	0	0	2	4	1	5	3	33	50	0	15	54	30	1	1	35	115	4	2	5	115	1	1	5	16	38	29	16	28	43	0	22	18	39	39	14	27	24	21	0	15	0
sq387	1	2	4	7	1	0	0	3	2	2	1	0	3	1	2	0	5	2	0	0	2	1	2	0	1	2	23	21	21	38	7	24	23	4	69	41	52	85	86	118	29	36	1	4	11	11	4	7	16	14	13	0	11	10	7	8	2	4	7	5	3	5	0
sq388	18	19	15	18	13	19	12	22	25	41	37	22	43	10	9	4	14	10	7	8	11	26	29	4	10	4	21	12	17	13	7	24	16	24	3	15	15	18	4	8	15	10	19	43	59	40	27	28	23	15	17	11	8	20	7	8	11	22	29	13	6	36	10
sq389	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	59	38	4	1	2	0	1	1	35	69	64	1	20	36	66	10	0	0	9	5	7	49	33	43	25	0	35	62	67	55	39	44	39	35	0	0	1
sq390	0	0	0	15	0	0	0	14	0	0	0	0	0	0	0	1	13	0	1	4	20	0	0	1	0	1	0	0	38	60	0	1	45	24	1	0	20	262	0	0	2	180	0	0	0	5	13	6	8	6	46	0	42	47	53	60	11	51	28	18	0	19	0
sq391	0	5	5	21	2	12	12	22	3	10	12	1	9	1	5	4	25	1	5	17	16	1	13	1	2	5	13	9	33	30	4	31	49	12	2	9	34	91	4	3	28	64	2	2	6	31	50	22	9	24	38	2	16	25	31	38	16	34	35	22	2	27	3
sq392	4	9	9	7	8	13	16	19	6	6	8	5	9	5	4	3	10	0	15	11	9	2	5	0	0	0	40	26	22	14	10	9	18	12	20	26	44	27	12	19	31	24	2	10	18	31	26	37	23	28	21	3	25	28	40	20	44	31	29	17	3	10	2
sq393	6	3	9	0	7	5	1	0	20	16	9	10	5	4	4	6	0	1	5	0	2	2	12	0	1	0	102	97	15	0	29	19	0	0	42	83	9	0	12	13	109	1	8	0	2	2	1	28	34	29	14	0	24	28	29	23	26	19	28	39	3	3	0
sq394	6	7	14	21	5	6	2	11	8	19	13	8	14	0	3	3	8	2	9	3	12	0	12	1	0	1	59	55	32	16	12	21	23	16	17	42	22	16	10	15	58	19	6	12	17	10	18	35	32	46	22	3	15	22	31	25	17	29	25	29	0	16	5
sq395	5	1	3	1	5	60	68	183	6	15	35	0	51	4	10	8	76	7	13	28	6	1	8	2	2	18	12	11	9	0	9	65	40	16	0	7	1	5	0	0	12	3	2	1	24	18	41	19	21	7	9	5	8	14	4	11	4	15	19	16	8	66	0
sq396	8	2	4	7	21	10	8	7	7	8	11	3	6	11	9	10	7	4	13	10	9	3	9	0	2	4	37	34	33	7	7	35	10	7	16	30	26	28	11	20	38	26	3	8	21	28	23	29	29	30	15	7	17	32	28	29	27	31	39	20	8	6	2
sq397	3	6	6	10	13	5	10	9	3	9	18	4	0	4	9	9	13	5	25	7	7	1	4	0	0	1	48	40	32	6	8	20	21	1	30	29	35	28	8	15	45	21	4	12	37	45	16	30	24	30	12	1	19	26	25	25	21	19	36	19	6	7	4
sq398	7	12	17	117	4	3	4	0	17	55	58	10	76	0	4	20	5	2	20	24	44	0	22	0	0	0	10	15	10	11	3	13	16	44	10	22	27	25	1	5	16	21	2	19	115	56	10	9	7	14	11	0	5	12	9	6	5	12	11	9	0	6	3
sq399	30	51	40	39	77	88	95	36	14	50	39	7	8	16	19	17	16	26	22	28	9	0	5	0	2	21	23	26	3	0	25	2	0	10	10	22	2	0	6	5	6	0	20	9	3	1	0	5	3	2	1	6	5	1	8	4	3	5	3	2	4	35	30
sq400	0	0	1	21	1	1	2	40	0	0	1	0	3	0	0	1	14	0	0	11	42	0	1	0	0	1	0	0	33	43	0	3	21	18	0	0	41	197	0	0	4	106	0	0	0	0	5	19	9	8	74	0	35	36	35	51	29	55	43	27	0	27	0
sq401	1	2	1	20	0	4	2	7	2	4	4	5	30	0	0	6	18	1	3	9	9	0	5	0	0	1	13	15	45	28	0	14	34	15	7	13	47	73	3	3	18	40	3	1	21	31	51	28	24	17	35	0	16	32	28	18	22	23	34	29	0	32	1
sq402	22	13	25	0	31	9	9	0	48	13	10	10	0	5	1	3	0	6	5	7	3	0	17	1	0	0	46	34	43	1	43	47	2	0	24	59	60	3	28	21	35	1	9	20	61	47	13	23	17	18	8	5	10	17	18	9	17	23	29	19	1	0	8
sq403	3	8	12	9	7	6	6	6	12	4	11	7	3	6	3	1	4	3	6	9	7	0	9	0	0	1	82	46	17	6	9	8	10	9	42	47	28	13	23	19	49	14	4	12	17	19	8	25	21	24	19	0	28	34	25	16	24	24	25	16	2	3	5
sq404	0	0	0	0	0	0	0	7	0	3	5	0	29	0	0	0	52	0	0	0	4	0	0	0	0	14	0	3	43	0	4	123	91	3	0	1	3	35	0	0	0	14	1	5	63	120	140	10	10	9	15	0	7	11	5	14	1	12	19	18	0	189	0
sq405	0	0	0	1	0	0	0	7	0	0	0	0	1	0	0	2	6	0	1	2	8	0	0	0	0	0	5	1	37	37	0	5	29	5	4	1	87	161	0	0	11	98	0	0	1	6	19	31	13	19	33	0	33	39	44	40	14	29	21	7	0	6	0
sq406	1	3	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	10	5	40	11	5	37	28	0	10	15	60	34	59	86	20	23	0	2	46	91	111	9	5	8	11	0	4	3	11	15	8	4	1	3	0	0	0
sq407	3	4	3	10	4	5	8	17	4	9	7	7	7	4	5	7	9	6	12	7	11	1	7	1	0	4	53	37	31	8	6	22	13	10	13	18	40	21	12	15	42	14	2	5	30	24	28	31	30	25	28	7	30	24	37	24	18	33	36	22	5	8	3
sq408	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	3	28	0	0	1	7	0	0	0	6	64	1	4	111	13	0	0	12	104	0	0	2	163	0	0	0	6	10	17	13	16	83	0	23	43	47	52	5	42	21	20	0	8	0
sq409	0	0	0	10	0	3	1	6	1	1	3	0	6	1	0	3	6	0	1	5	14	0	0	0	0	0	21	18	34	24	0	12	33	9	9	9	58	90	7	11	24	55	0	0	8	10	20	23	23	19	30	0	19	20	28	25	21	21	29	18	0	8	0
sq410	2	4	8	37	1	1	3	14	8	26	32	8	71	0	1	4	43	0	5	6	14	3	12	2	9	4	26	22	32	28	3	56	36	24	11	20	5	20	6	4	37	9	2	2	30	34	44	31	25	31	24	0	6	14	10	7	9	19	37	29	0	39	0
sq411	12	6	10	15	7	13	18	15	19	41	42	13	88	9	6	4	30	3	7	9	16	9	26	5	6	8	31	24	14	11	9	21	14	24	10	19	15	18	6	7	14	12	8	7	13	12	17	15	15	20	16	6	13	13	21	19	13	11	21	25	6	68	5
sq412	5	11	2	8	1	4	9	8	3	7	4	6	9	4	3	8	9	1	4	11	10	0	11	0	0	3	50	54	24	12	11	16	9	16	21	43	23	31	14	24	39	18	0	9	12	16	15	26	19	33	29	2	17	25	25	21	16	34	26	19	0	5	0
sq413	0	0	2	7	0	0	1	11	0	0	0	1	1	0	0	0	11	0	2	11	38	1	1	1	11	0	0	0	8	63	0	12	74	12	0	0	8	100	0	0	0	144	1	0	0	10	21	25	13	18	71	0	23	36	32	32	16	39	26	17	0	19	0
sq414	5	1	2	1	6	8	2	2	1	10	3	2	2	1	2	4	2	3	5	8	4	2	1	0	0	1	59	55	31	3	6	11	9	6	29	72	39	18	17	17	38	9	1	3	15	20	14	30	23	39	13	3	26	25	31	27	37	30	39	38	2	7	0
sq415	197	0	0	0	1	0	0	0	1	0	0	0	0	16	3	0	0	5	5	1	14	9	0	8	0	2	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	10	0	1	12	611	0	4	22	18	0	0	10	24	11	1	1	10	17	0	0	1
sq416	3	6	5	9	3	8	8	11	2	3	7	2	5	3	7	4	3	12	11	12	8	3	5	3	3	1	42	28	21	5	14	13	13	5	25	25	29	30	9	21	30	29	4	7	24	25	16	36	25	35	10	8	18	19	27	22	33	32	34	19	4	4	3
sq417	7	9	9	14	11	8	10	11	9	12	13	2	14	1	7	10	9	5	8	9	10	2	6	1	0	3	52	30	25	13	17	16	20	8	18	37	26	17	13	9	38	15	6	9	17	28	18	28	19	28	9	4	15	14	30	17	21	24	33	24	4	10	6
sq418	0	4	7	9	1	5	6	17	4	2	6	0	0	3	6	3	6	1	9	19	10	0	2	1	0	1	2	10	13	10	3	10	9	12	16	6	71	60	5	3	15	58	2	0	4	17	11	15	9	10	12	0	19	12	13	16	13	13	14	2	0	2	2
sq419	8	8	7	17	13	10	20	19	7	11	25	10	16	11	8	5	25	6	9	16	14	3	15	1	1	7	22	13	33	17	5	21	17	15	3	11	25	57	1	5	9	43	7	3	25	34	34	24	17	13	22	1	11	15	20	24	15	24	32	11	5	15	4
sq420	20	2	5	7	4	8	3	7	34	94	52	28	18	16	15	28	24	10	18	21	13	12	49	21	34	46	0	0	0	2	1	15	10	68	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	1	0	117	0	0	0	0	0	0	1	1	131	20	2
sq421	4	8	5	9	10	5	11	19	5	10	7	3	3	7	6	6	6	9	11	19	5	3	3	0	0	7	40	34	27	11	6	10	16	1	13	31	27	26	16	15	41	21	5	5	21	33	25	30	17	35	18	3	21	20	28	19	20	26	33	23	0	6	1
sq422	9	6	16	23	10	20	29	17	7	31	30	16	43	2	11	12	40	3	19	28	12	2	29	4	3	11	28	22	26	5	1	5	13	22	4	31	43	46	2	5	15	4	12	6	1	5	8	6	6	7	12	5	8	2	17	6	4	3	11	9	3	36	5
sq423	5	11	3	5	6	9	4	13	7	9	7	4	5	3	8	7	11	7	9	16	8	1	4	0	0	3	35	27	27	10	6	22	13	5	24	26	34	25	9	18	34	31	4	6	22	20	28	27	19	29	18	3	18	29	25	18	23	27	28	23	3	11	1
sq424	0	0	1	13	0	0	1	19	1	2	2	0	9	0	0	1	17	0	7	10	20	0	1	0	0	1	4	5	35	39	0	22	55	20	5	2	22	73	1	1	6	68	0	0	4	15	31	15	17	14	47	0	18	27	34	36	15	28	28	14	1	35	0
sq425	24	17	7	21	16	18	8	14	25	20	16	14	32	13	7	15	18	15	11	14	15	10	32	7	8	5	19	16	20	16	13	27	18	14	12	8	9	20	3	4	22	11	20	15	30	25	24	24	16	6	11	10	8	13	10	8	11	12	16	12	6	31	10
sq426	15	4	12	18	12	13	14	19	10	13	9	10	6	6	7	9	11	7	15	8	17	1	14	4	1	1	31	14	16	23	10	19	13	6	17	20	26	30	8	15	34	28	3	11	19	11	26	16	13	21	22	3	20	17	19	21	21	20	17	12	2	10	2
sq427	1	14	17	74	4	5	2	5	3	1	0	0	3	3	1	14	6	1	33	33	17	0	13	0	2	3	10	6	11	32	19	108	33	26	2	25	27	46	0	0	17	17	3	5	15	13	15	25	28	22	12	3	11	17	10	6	11	32	44	32	2	8	4
sq428	2	0	1	15	0	1	1	12	0	4	5	0	14	0	2	4	11	1	1	6	9	0	1	2	1	4	6	5	46	43	8	22	46	14	1	2	54	57	4	21	12	34	2	2	25	34	28	24	18	25	28	1	16	13	22	15	13	17	12	27	3	26	0
sq429	0	0	0	9	0	0	0	17	0	0	0	0	0	0	0	0	8	0	1	0	26	0	0	0	1	0	0	0	24	29	0	3	34	16	0	0	20	131	0	0	3	137	0	0	0	2	6	10	11	13	37	0	41	39	43	42	13	31	22	24	0	16	0
sq430	3	2	0	7	1	6	2	9	2	2	3	1	5	0	2	2	16	0	5	8	12	1	3	0	1	4	5	6	15	37	1	21	26	13	0	3	30	90	0	4	4	74	2	0	5	22	26	10	22	20	52	0	31	28	49	38	14	42	24	22	5	17	1
sq431	0	0	1	61	0	0	0	8	0	1	1	0	2	0	0	0	8	0	2	1	29	0	0	0	0	0	0	1	22	71	1	30	126	24	0	0	5	167	0	0	0	59	0	0	1	21	40	11	18	13	44	0	13	22	20	18	7	28	31	26	0	17	0
