	1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	5_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	7_clip	8_clip	9_clip
sq19	265	239	191	317	323	314	356	327	195	320	346	160	291	276	382	450	378	285	565	442	291	79	255	35	40	288	1867	1517	1090	366	595	983	526	271	770	1321	1392	1229	496	707	2002	863	216	421	1030	1241	922	1215	1081	1024	777	233	841	1231	1292	980	1283	1357	1410	1020	293	312	127
sq20	204	381	561	1179	421	998	1133	1154	476	1083	1149	317	1248	183	238	338	933	196	595	910	843	40	506	30	42	143	1101	1061	782	349	155	800	690	1411	1079	930	1043	601	403	400	1052	413	206	196	661	830	708	918	751	900	645	78	567	851	807	794	938	962	1078	731	127	1111	120
sq21	2066	324	279	307	561	260	292	413	681	276	312	532	268	2684	700	865	577	1216	399	316	395	15271	384	3438	3448	296	23	29	27	116	412	219	273	375	5	61	11	122	4	10	38	111	1564	565	282	70	96	250	192	196	59	955	13	28	29	30	24	29	85	59	958	1040	212
sq22	1206	190	170	178	435	273	248	288	418	536	444	277	200	1522	757	853	387	932	262	114	165	801	401	2097	2273	536	313	277	567	186	2153	1147	321	178	77	387	364	335	374	833	251	163	1622	2787	5006	2042	1069	496	402	586	172	879	90	160	194	133	215	197	427	420	1230	205	122
sq23	285	267	329	461	307	293	324	331	306	351	385	221	257	187	168	211	239	167	235	332	339	61	336	6	11	28	2263	2124	1174	337	346	431	393	411	1094	1666	1020	781	604	711	1924	575	125	324	792	640	516	973	904	1066	756	86	631	1043	1038	785	996	1039	1209	928	42	304	120
sq24	642	320	440	569	746	589	510	259	902	820	771	559	627	462	367	424	287	461	442	399	227	175	717	53	37	46	1552	1373	1094	251	376	768	227	507	1042	1489	1114	375	516	662	1527	191	368	642	1220	917	502	778	649	771	443	147	363	608	625	495	683	716	882	643	86	311	200
sq25	612	392	433	66	1124	414	393	150	994	643	397	686	220	581	510	197	170	518	321	107	64	327	745	200	125	48	2200	1894	1029	88	1544	853	158	108	722	2143	977	313	593	944	1406	208	998	454	1044	632	569	709	675	753	343	136	354	532	522	421	483	602	765	712	158	336	227
sq26	81	136	184	840	151	182	225	1214	69	129	163	65	260	104	116	144	692	74	294	545	1358	10	88	31	79	70	217	165	675	1555	31	486	1527	1072	174	137	1092	2613	75	77	349	2345	55	18	145	426	908	748	632	731	1391	40	792	1135	976	1219	692	1138	986	638	33	960	61
sq27	250	1549	1314	569	533	611	578	753	1697	5246	4406	762	2066	486	345	931	2006	391	877	752	569	42	1570	199	190	861	76	17	60	16	1	26	20	1204	32	32	62	135	0	1	82	96	374	1	0	0	11	134	106	58	104	677	204	280	221	168	252	464	487	369	1195	2598	511
sq28	1424	521	463	125	741	438	414	418	1208	866	806	839	959	980	752	1009	980	1051	706	739	578	840	839	771	1311	438	200	281	140	139	136	599	491	739	140	280	93	238	50	39	301	310	1270	165	195	147	203	389	367	372	186	2068	149	212	224	196	214	251	405	338	2008	1473	438
sq29	853	383	380	699	765	517	544	472	823	818	777	615	895	525	438	378	577	527	397	372	422	457	733	189	145	122	650	578	644	385	394	637	474	568	270	577	641	694	179	208	755	456	539	789	1130	879	738	639	537	591	461	294	298	445	408	355	421	501	655	522	201	849	237
sq30	1	6	11	339	0	11	11	665	1	2	6	5	18	0	5	31	332	0	67	225	711	0	4	6	4	15	113	156	2051	888	5	385	984	486	60	27	2678	2871	29	18	559	2354	2	2	96	838	1606	685	616	674	1220	0	746	1002	970	1045	538	970	700	515	2	293	0
sq31	235	3	5	14	114	840	1063	106	1941	3276	3235	1225	5521	118	431	1184	2211	74	438	21	541	23	2083	20	61	348	51	51	171	2	35	365	201	1343	8	26	2	36	10	15	14	8	718	23	154	327	285	56	45	60	18	710	5	9	9	5	3	18	47	27	1111	3097	1
sq32	427	425	486	643	531	557	613	798	580	741	706	313	651	572	563	651	827	434	851	487	476	108	504	233	209	250	399	289	418	486	468	1001	763	723	398	630	742	913	161	212	448	660	473	264	452	373	436	409	378	420	379	440	215	291	330	293	275	387	447	415	610	1222	155
sq33	63	0	0	0	1	1	0	0	0	0	1	0	0	20	1	0	5	6	7	5	20	23	1	26	1	2	3	1	3	0	4	8	29	0	57	0	111	103	116	4	766	412	3	644	342	7572	6515	178	318	1222	175	0	69	279	296	300	21	156	572	275	1	0	0
sq34	2444	505	477	125	716	217	165	39	1570	672	306	970	63	1744	1010	757	167	1157	497	144	103	2079	1034	1841	1145	134	186	150	82	20	593	267	58	189	217	245	63	16	214	277	105	14	2885	572	457	131	117	194	140	228	28	1832	28	48	46	33	60	65	85	94	1336	106	409
sq35	439	368	337	357	194	379	576	479	634	1153	1277	522	1545	252	462	1285	1238	220	690	648	440	199	939	629	1348	391	371	400	154	79	442	755	113	1058	525	659	181	68	149	303	297	33	324	424	344	122	212	305	285	205	129	477	168	275	243	218	240	355	441	343	736	1925	117
sq36	2	14	37	360	2	16	28	404	2	12	25	2	170	0	3	37	314	1	88	363	340	0	14	0	1	18	439	202	1270	218	0	50	230	467	657	233	1935	763	24	24	338	378	3	1	2	8	76	572	533	519	829	1	1121	1352	1356	1318	1190	1261	952	546	3	423	4
sq37	1993	418	335	68	609	294	221	91	1258	838	427	819	235	1765	1100	817	158	1257	463	185	138	541	1034	882	741	235	175	148	251	203	811	418	397	207	29	124	36	74	86	143	51	31	2505	605	933	354	205	105	72	99	47	1551	20	12	43	20	23	34	68	64	1387	227	355
sq38	363	247	272	508	396	312	314	334	441	445	453	286	384	201	198	179	359	196	234	266	333	88	408	30	30	62	1103	897	745	365	206	399	362	447	448	812	721	707	256	312	988	500	231	248	483	463	497	616	509	548	523	98	345	553	572	453	486	609	679	495	79	364	137
sq39	553	343	357	295	804	424	485	420	797	749	594	397	804	585	395	291	512	453	309	210	195	453	545	218	187	113	747	548	460	141	874	946	314	388	240	754	351	215	111	198	635	140	513	609	851	573	658	500	470	507	191	136	157	254	254	163	211	264	509	367	216	774	248
sq40	1008	396	451	65	660	424	403	206	909	1042	642	553	496	812	593	623	256	617	364	164	171	233	920	448	377	302	373	315	478	60	737	494	246	397	151	535	129	62	314	547	257	27	1212	680	1397	683	489	150	100	144	55	889	32	47	66	32	73	39	101	89	1018	553	270
sq41	3051	917	559	76	748	223	335	234	1433	239	213	726	38	1408	630	1091	187	802	608	131	159	993	728	1624	1399	154	58	41	53	0	175	245	22	115	15	89	8	24	9	17	52	13	2050	244	175	67	78	147	120	111	14	1384	14	29	27	19	33	56	72	71	900	350	724
sq42	299	237	182	147	456	453	481	490	306	576	651	249	616	423	355	459	469	390	427	290	198	112	316	93	115	150	685	585	302	60	441	416	175	297	448	598	376	187	247	377	641	143	187	491	790	535	473	558	432	500	258	369	288	484	381	412	450	524	674	493	320	847	151
sq43	0	0	5	174	1	5	9	358	1	8	5	2	19	0	0	20	277	0	31	70	691	1	8	0	2	14	21	22	358	1137	0	117	1767	456	15	4	428	2628	5	6	117	3096	0	1	10	235	632	568	419	537	1300	2	638	892	899	1081	298	818	563	376	0	359	1
sq44	158	59	62	0	117	57	47	7	502	368	168	221	19	104	112	68	9	80	45	16	11	30	284	10	2	10	1379	1119	204	8	1021	387	12	21	1369	1690	207	3	853	1543	757	3	174	1273	801	158	59	340	265	321	106	74	171	207	291	189	269	247	266	212	84	18	42
sq45	1	2	6	252	0	6	6	486	1	2	6	2	26	2	2	10	373	1	38	92	790	2	2	14	50	17	37	39	467	1271	1	189	1711	500	18	10	693	2220	8	3	146	2537	1	1	19	264	671	487	414	467	1117	2	539	773	794	856	284	758	522	338	1	421	1
sq46	1738	292	227	31	603	261	186	182	1031	501	427	503	290	1653	745	636	333	1319	225	72	90	859	569	1093	665	71	118	174	89	14	170	578	68	205	17	140	21	14	11	21	177	13	1176	270	897	524	375	345	289	359	28	670	77	96	75	51	120	232	360	279	423	332	302
sq47	134	203	235	622	135	193	222	508	185	292	275	128	384	82	83	179	364	79	205	296	503	22	243	24	10	78	395	305	366	423	59	358	408	519	258	306	472	798	137	102	444	538	118	14	144	244	346	522	474	618	506	66	410	620	591	546	676	734	728	527	65	483	87
sq48	120	204	283	230	317	191	175	78	313	299	212	151	238	134	131	121	104	143	167	186	104	36	187	10	18	6	1114	937	666	142	498	668	172	128	491	830	615	308	171	199	951	132	72	230	531	473	362	711	638	716	354	22	309	529	439	403	480	554	761	604	27	157	129
sq49	213	164	182	369	247	211	214	242	264	256	294	184	294	123	157	145	251	141	179	255	297	61	248	16	15	57	762	672	554	332	142	352	338	293	391	500	593	626	212	275	594	399	123	198	405	476	458	452	397	439	426	71	295	398	442	394	395	508	516	357	55	282	79
sq50	0	3	4	270	1	8	14	844	0	3	2	4	76	1	1	15	679	0	46	120	552	9	2	59	160	36	71	61	952	682	2	374	924	407	32	20	1252	1424	10	5	237	1072	0	3	141	826	1917	400	390	432	704	0	339	510	473	510	211	498	507	410	3	808	0
sq51	104	200	271	95	346	198	174	78	243	253	182	133	169	153	126	92	130	96	143	130	50	25	250	11	12	18	756	484	665	197	1158	920	184	168	409	880	1018	368	376	637	624	174	157	282	642	451	408	375	332	365	226	22	185	334	306	223	222	259	438	320	38	229	92
sq52	596	106	111	63	342	169	196	125	801	452	603	401	366	447	244	352	390	360	213	131	96	557	480	192	174	68	910	766	338	40	288	494	88	186	298	631	273	151	59	83	455	64	314	202	464	295	218	392	362	334	137	172	203	277	379	205	298	404	606	532	163	372	53
sq53	22	107	119	184	85	82	64	107	41	75	70	25	69	6	13	49	82	8	65	139	165	2	32	0	0	9	744	594	235	181	1598	320	212	186	852	1158	265	191	610	969	501	109	7	1158	547	168	136	601	479	601	231	12	207	319	320	195	357	439	600	509	10	87	34
sq54	1465	622	461	14	966	390	376	223	1099	449	324	446	82	982	902	824	149	881	670	161	63	762	485	485	401	114	177	228	78	3	275	283	61	93	53	263	70	27	31	41	242	31	686	343	333	204	168	183	161	176	30	519	43	68	52	57	81	88	139	111	394	111	438
sq55	0	31	60	845	6	182	238	2477	1	83	117	2	1939	2	18	239	2000	6	449	1516	710	0	26	30	54	381	3	1	196	107	0	5	59	1503	0	2	134	485	1	0	11	229	0	0	1	1	5	48	52	22	178	12	107	104	124	140	27	152	149	106	44	3526	1
